Est Number,Reporting Area,Premise Name,Premise Address 1,Inspection Type,Score,Inspection Date,Violation List,Followup Required
52037,605,BURGER KING #8725,3348 CLAYS MILL RD,1,99,6-Aug-13,19,NO
52037,605,BURGER KING #8725,3348 CLAYS MILL RD,1,100,24-Jan-14,,NO
83658,605,BUSTER'S BILLARDS AND BACKROOM,899 MANCHESTER ST,1,100,20-Jun-13,,NO
83658,605,BUSTER'S BILLARDS AND BACKROOM,899 MANCHESTER ST,1,97,13-Dec-13,   8  19,NO
43235,605,BUTT RUBB BBQ,450 SOUTHLAND DRIVE STE B,1,100,19-Jun-13,,NO
43235,605,BUTT RUBB BBQ,450 SOUTHLAND DRIVE STE B,1,100,17-Dec-13,,NO
30827,607,C & P RESTAURANT,1000 MANCHESTER,1,96,13-Sep-13,   8  19  20,NO
30827,607,C & P RESTAURANT,1000 MANCHESTER,1,100,6-Mar-14,,NO
80751,605,CADDY'S GRILL,1424 VERSAILLES RD,1,96,12-Aug-13,17,NO
80751,605,CADDY'S GRILL,1424 VERSAILLES RD,2,100,12-Aug-13,,NO
80751,605,CADDY'S GRILL,1424 VERSAILLES RD,1,97,18-Feb-14,   5  32,NO
34431,605,CAFE SOUTH, CENTRAL BAPTIST HOSPITAL,1,99,18-Jun-13,15,NO
34431,605,CAFE SOUTH, CENTRAL BAPTIST HOSPITAL,1,98,27-Dec-13,34,NO
87760,605,CAJUN,430 W VINE ST.,1,94,29-Oct-13,   9  12  16,NO
87760,605,CAJUN,430 W VINE ST.,1,100,19-Mar-14,,NO
32986,605,CAKES AND MORE,2220 NICHOLASVILLE RD #150,1,96,16-Sep-13,  12  30  32,NO
90279,605,CAKES BY JULIE,355 ROMANY RD,1,100,21-Jun-13,,NO
90279,605,CAKES BY JULIE,355 ROMANY RD,1,100,16-Dec-13,,NO
65047,605,CALVARY BAPTIST CHURCH,130 E. HIGH STREET,1,100,13-Aug-13,,NO
