business_id,name,address,city,state
32515,DETROIT CONEY ISLAND,,Lexington,KY
68414,"DEVOTION ENTERPRISES, LLC",,Lexington,KY
30743,DIANA SUPERMARKET INC,,Lexington,KY
95605,DICKEY'S BBQ PIT,,Lexington,KY
56945,"DISH, THE",,Lexington,KY
49294,DISMAS CHARITIES LEXINGTON,,Lexington,KY
69642,DIVA'S,,Lexington,KY
31006,DIXIE ELEMENTARY SCHOOL,,Lexington,KY
62841,DOMINO'S,,Lexington,KY
31008,DOMINO'S PIZZA,,Lexington,KY
31014,DOMINO'S PIZZA,,Lexington,KY
47340,DOMINO'S PIZZA,,Lexington,KY
66585,DOMINO'S PIZZA  #  1406,,Lexington,KY
64029,DOMINO'S PIZZA  #180,,Lexington,KY
31016,DOMINO'S PIZZA STS PIZZA,,Lexington,KY
53940,DONATO'S,,Lexington,KY
61333,DONATO'S,,Lexington,KY
62159,DONATO'S PIZZA,,Lexington,KY
66256,DONATO'S PIZZA,,Lexington,KY
56132,DONATO'S PIZZA - BEAUMONT CTR.,,Lexington,KY
32440,DONG YANG MARKET,,Lexington,KY
31018,DONUT DAYS,,Lexington,KY
69332,DOODLES,,Lexington,KY
72277,DOUBLE H BBQ,,Lexington,KY
90402,DOUBLE H BBQ,,Lexington,KY
37356,DOUBLE TREE GUEST SUITES,,Lexington,KY
87496,DOUGHBY'S,,Lexington,KY
84961,DUDLEY'S RESTAURANT,,Lexington,KY
65669,DUNBAR BASEBALL CONCESSION,,Lexington,KY
67302,DUNBAR FOOTBALL CONCESSION,,Lexington,KY
68558,DUNBAR HIGH SCHOOL SOFTBALL,,Lexington,KY
80513,DUNKIN DONUTS,,Lexington,KY
82346,DUNKIN DONUTS,,Lexington,KY
94470,DUNKIN DONUTS,,Lexington,KY
55114,"DUPREE CATERING & EVENTS, LLC",,Lexington,KY
32022,DURANGO'S MEXICAN RESTAURANT,,Lexington,KY
31184,EAST 7TH STREET MISSION,,Lexington,KY
93827,EASTERN STATE HOSPITAL - KITCHEN,,Lexington,KY
75036,EDIBLE ARRANGEMENTS,,Lexington,KY
